date,state,lat_1,u_1,lat_2,u_2,interjet_min
2018-05-01,double,25.5,28.496871948242188,59.0,28.365298011086203,7.967925158413974
2018-05-02,double,24.5,32.953770030628554,57.0,35.32204402576793,4.855356433174827
2018-05-03,double,27.25,38.350890766490586,57.0,33.84603639082475,0.7588881687684492
2018-05-04,double,25.75,37.73134508999911,57.5,30.15054685419256,-0.19126161120154642
2018-05-05,double,24.75,34.72489998557351,55.0,26.74915989962491,-2.20942147211595
2018-05-06,double,26.25,30.5430231961337,62.5,31.401294708251953,-4.764632723548195
2018-05-07,double,25.5,27.996226917613637,49.5,26.068585135719992,-2.4594087492335928
2018-05-08,double,25.0,27.479150251908735,51.5,27.28788809342818,1.675117167559537
2018-05-09,double,22.5,30.416282653808594,46.25,29.334277066317473,7.023161194541237
2018-05-10,double,22.75,23.4663292277943,46.75,31.503069964322176,12.116041096774014
2018-05-11,double,26.75,22.288916674527254,41.75,20.70896391435103,14.340683416886764
2018-05-12,double,26.0,26.329529675570402,74.5,26.763885498046875,-1.0174731828949668
2018-05-13,double,26.0,26.862877759066496,40.25,18.7872314453125,11.794112638993697
2018-05-14,double,25.25,27.82291568409313,40.5,18.715061707930133,12.20422311262651
2018-05-15,double,24.75,27.43320014260032,49.5,17.304329785433683,11.46821169419722
2018-05-16,double,25.5,27.265258268876508,55.5,19.512347481467508,7.895537766543302
2018-05-17,double,24.0,25.98836361278187,51.0,21.723553570834074,7.847165411168879
2018-05-18,double,24.25,25.204612385142934,51.5,26.70709956776012,3.9123651547865435
2018-05-19,double,24.25,27.867924603548918,49.75,21.970056013627485,6.443728143518621
2018-05-20,double,24.5,28.052095066417348,48.5,16.808100787076082,8.654517260464756
2018-05-21,double,24.75,28.156122901222922,69.75,20.47702338478782,5.075666904449463
2018-05-22,double,24.75,25.39059205488725,36.5,20.03058658946644,11.35582429712469
2018-05-23,double,25.0,23.30738639831543,69.0,19.470003128051758,6.526298566298052
2018-05-24,double,23.5,21.18931943720037,71.0,26.86547990278764,0.6007899045944214
2018-05-25,double,24.5,22.664045333862305,66.75,18.465035005049273,5.019459290937944
2018-05-26,double,26.25,20.169443130493164,70.0,25.896791804920543,0.024240220134908504
2018-05-27,single,73.25,28.559453790838067,,,
2018-05-28,double,20.5,20.440891981124878,67.75,19.388262835415926,3.521415103565563
2018-05-29,double,22.5,20.15837270563299,71.25,26.532196218317207,0.9532062275843187
2018-05-30,single,24.75,23.4490554115989,,,
2018-05-31,double,22.75,24.0825533433394,71.0,20.629901365800336,-0.9957182136448947
2018-06-01,double,23.0,23.458838722922586,71.25,21.247833425348457,2.0893181562423706
2018-06-02,double,24.0,23.63477394797585,69.25,33.099200855601914,-2.0110915899276733
2018-06-03,double,24.75,22.545519395308062,69.75,37.277712388472125,-7.707875641909513
2018-06-04,double,40.75,22.970297033136543,71.0,27.53201588717374,-4.68875772302801
2018-06-05,single,25.0,21.042868527499113,,,
2018-06-06,single,25.0,18.188046195290305,,,
2018-06-07,double,38.5,17.792786164717242,57.0,15.534662506797098,7.201307600194758
2018-06-08,double,23.5,15.218186725269664,39.25,19.906752499667082,8.95497937635942
2018-06-09,single,40.75,17.390346353704278,,,
2018-06-10,single,39.5,17.423308805985883,,,
2018-06-11,single,42.5,19.11703283136541,,,
2018-06-12,single,51.25,21.971493114124645,,,
2018-06-13,double,23.5,16.408104809847746,52.25,25.74806629527699,10.157092267816717
2018-06-14,double,25.25,22.441553462635387,50.0,27.49910944158381,4.767730192704634
2018-06-15,double,25.75,24.057465293190695,52.25,29.674902135675605,3.3041234666650947
2018-06-16,double,24.25,20.356627204201438,51.5,31.101198543201793,5.132693464105779
2018-06-17,double,25.25,17.441714200106535,53.75,29.719322377985176,6.29572681947188
